"","id_trabajador","edad","genero","nivel_educativo","num_hijos","tipo_cargo","capacitado","jornada","antiguedad","empresa"
"1",1,31,"masculino","bachiller",0,"operativo",1,"nocturna",19,70
"2",2,43,"masculino","universitario",2,"operativo",0,"mixta",5,32
"3",3,27,"masculino","tecnico",1,"operativo",0,"diurna",7,120
"4",4,64,"femenino","bachiller",1,"operativo",1,"diurna",8,98
"5",5,45,"masculino","maestria",1,"administrativo",1,"nocturna",6,49
"6",6,28,"femenino","tecnico",1,"operativo",0,"mixta",6,108
"7",7,47,"femenino","bachiller",0,"operativo",0,"mixta",13,44
"8",8,51,"femenino","especializacion",0,"administrativo",0,"nocturna",10,140
"9",9,49,"femenino","tecnico",1,"administrativo",0,"diurna",11,116
"10",10,35,"masculino","tecnico",2,"operativo",1,"diurna",19,97
"11",11,63,"masculino","tecnico",1,"operativo",1,"nocturna",11,69
"12",12,46,"femenino","bachiller",1,"operativo",0,"mixta",21,14
"13",13,31,"masculino","universitario",1,"operativo",1,"diurna",19,65
"14",14,18,"femenino","bachiller",1,"administrativo",0,"diurna",11,82
"15",15,57,"femenino","tecnico",3,"operativo",1,"nocturna",18,22
"16",16,39,"masculino","tecnico",2,"operativo",1,"diurna",12,139
"17",17,40,"masculino","maestria",0,"administrativo",1,"diurna",6,1
"18",18,54,"masculino","bachiller",2,"operativo",0,"nocturna",9,40
"19",19,52,"masculino","tecnico",3,"administrativo",0,"diurna",10,42
"20",20,49,"masculino","bachiller",0,"administrativo",0,"nocturna",14,79
"21",21,54,"masculino","tecnico",0,"operativo",0,"mixta",13,34
"22",22,52,"femenino","tecnico",0,"administrativo",0,"mixta",13,62
"23",23,41,"masculino","tecnico",0,"operativo",1,"diurna",15,93
"24",24,18,"masculino","bachiller",0,"operativo",1,"diurna",4,33
"25",25,49,"femenino","tecnico",0,"operativo",1,"nocturna",15,100
"26",26,39,"femenino","tecnico",2,"administrativo",0,"diurna",11,147
"27",27,38,"masculino","bachiller",1,"operativo",0,"diurna",13,16
"28",28,18,"femenino","tecnico",3,"administrativo",0,"mixta",12,92
"29",29,33,"masculino","tecnico",1,"operativo",1,"diurna",6,80
"30",30,46,"masculino","bachiller",2,"operativo",0,"diurna",9,123
